id_str,tweet_url,created_at,text,lang,retweet_count,screen_name,in_reply_to_screen_name,in_reply_to_status_id,url,user_mention,query,hashtags,media,lat,lng
382871987267600384,https://twitter.com/mkilpatrick123/status/382871987267600384,2013-09-25 14:19:29+00:00,"Hallelujah. RT @Hypable: There are no deaths in 'Downton Abbey' series 4, according to Jim Carter http://t.co/ST8xxub6Fa",en,0,mkilpatrick123,Hypable,382859687307526145,http://www.hypable.com/2013/09/25/downton-abbey-series-4-jim-carter-character-deaths/,Hypable,Downton,,,,
382871973237641216,https://twitter.com/liv_strohm/status/382871973237641216,2013-09-25 14:19:26+00:00,RT @Allenleech: I’m An Unapologetic ‘Downton Abbey’ Bootlegger http://t.co/I0HNYnclOF via @TIMECulture,en,18,liv_strohm,,,http://ti.me/15TfIBc,Allenleech,Downton,,,,
382871951901212672,https://twitter.com/williamssoph/status/382871951901212672,2013-09-25 14:19:21+00:00,@Jillandkate Downton 😊,en,0,williamssoph,Jillandkate,382871853997756417,,Jillandkate,Downton,,,,
382871929025490944,https://twitter.com/_KatyuvMoodyd/status/382871929025490944,2013-09-25 14:19:15+00:00,"I never judge a book by its cover, I use the paragraph on the back, it character to the story as Lord Grantham #Downton",en,0,_KatyuvMoodyd,,,,,Downton,Downton,,,
382871925703589888,https://twitter.com/bekytt/status/382871925703589888,2013-09-25 14:19:15+00:00,“@Allenleech: I’m An Unapologetic ‘Downton Abbey’ Bootlegger http://t.co/LiyDcZcAom” // I absolutely do this. And then watch it again on pbs,en,0,bekytt,Allenleech,382861402701983744,http://ti.me/15TfIBc,Allenleech,Downton,,,,
382871747428487169,https://twitter.com/yvettego/status/382871747428487169,2013-09-25 14:18:32+00:00,RT @Allenleech: I’m An Unapologetic ‘Downton Abbey’ Bootlegger http://t.co/OJBhlrEqwQ via @TIMECulture yup!,en,0,yvettego,,,http://ti.me/15TfIBc,Allenleech,Downton,,,,
382871716923711488,https://twitter.com/melj1213/status/382871716923711488,2013-09-25 14:18:25+00:00,Finally catching up with the first ep of the new series of #Downton,en,0,melj1213,,,,,Downton,Downton,,,
382871458999205888,https://twitter.com/NusbaumPeggy/status/382871458999205888,2013-09-25 14:17:23+00:00,"#writing #quotes | Wine is bottled poetry, ~ Robert Louis Stevensont in linen when sewing on a missing button, #Downton",en,0,NusbaumPeggy,,,,,Downton,writing,,,
382871453919887361,https://twitter.com/roz1t/status/382871453919887361,2013-09-25 14:17:22+00:00,Absolutely booing over William dying on Downton.,en,0,roz1t,,,,,Downton,,,,
382871248797442048,https://twitter.com/eunice_r3/status/382871248797442048,2013-09-25 14:16:33+00:00,"Puff pastry filled with chunky peanut butter and bacon topped with re certainly not short of words around here, #Downton",en,0,eunice_r3,,,,,Downton,Downton,,,
382871188307202048,https://twitter.com/SuperiorGent/status/382871188307202048,2013-09-25 14:16:19+00:00,RT @MinistryofTweed: Watching Downton Abbey it is a true pleasure to see traditional #etiquette I always make the effort. #chap,en,1,SuperiorGent,,,,MinistryofTweed,Downton,etiquette,,,
382870879342174208,https://twitter.com/lsofd/status/382870879342174208,2013-09-25 14:15:05+00:00,My very own Downton moment with ted_baker at Hurley #takethescenicroute http://t.co/2Fnjknswj4,en,0,lsofd,,,http://instagram.com/p/er7VCgCdcJ/,,Downton,takethescenicroute,,,
382870864976310272,https://twitter.com/SonE_Monster/status/382870864976310272,2013-09-25 14:15:02+00:00,ดู Downton Abbey แบบไม่มีซับนี่แทบตาย ต้องใช้ความพยายามมาก คือบับสำเนียงบริติชมันฟังยากมาก แล้วย้อนยุคด้วยไง แต่สนุกเวอร์ รอซับไทยมาดูอีกรอบ,th,0,SonE_Monster,,,,,Downton,,,,
382870824442937344,https://twitter.com/sophinityy/status/382870824442937344,2013-09-25 14:14:52+00:00,Photoset: Downton Abbey S04E01 http://t.co/0NbBxvqhCE,sl,0,sophinityy,,,http://tmblr.co/Z4ATSsvzwTdd,,Downton,,,,
382870692628148224,https://twitter.com/MarinaSofia8/status/382870692628148224,2013-09-25 14:14:21+00:00,"RT @welovethisbook: We're so glad #Downton is back. To celebrate, we asked Lord Mouseton of Mouseton Abbey to share his top mice in books h…",en,2,MarinaSofia8,,,,welovethisbook,Downton,Downton,,,
382870687737991168,https://twitter.com/minty_jerram/status/382870687737991168,2013-09-25 14:14:20+00:00,Finally catching up on downton,en,0,minty_jerram,,,,,Downton,,,,
382870641051205632,https://twitter.com/MariesVoice_MG/status/382870641051205632,2013-09-25 14:14:08+00:00,So bored! Sick of watching downton abbey now! Been watching if for days.,en,0,MariesVoice_MG,,,,,Downton,,,,
382870625238650880,https://twitter.com/MinistryofTweed/status/382870625238650880,2013-09-25 14:14:05+00:00,Watching Downton Abbey it is a true pleasure to see traditional #etiquette I always make the effort. #chap,en,1,MinistryofTweed,,,,,Downton,etiquette,,,
382870566555750400,https://twitter.com/DowntonAbbeyAdd/status/382870566555750400,2013-09-25 14:13:51+00:00,RT @joneastuk: We're cutting Downton Abbey at Ealing Film Studios. The addition to the studio sign tells what's shooting!! http://t.co/c7Pn…,en,2,DowntonAbbeyAdd,,,,joneastuk,Downton,,,,
382870486176116736,https://twitter.com/welovethisbook/status/382870486176116736,2013-09-25 14:13:31+00:00,RT @inspiringchoice: @welovethisbook This is the most adorable Downton tribute ever.,en,1,welovethisbook,,,,inspiringchoice,Downton,,,,
382870433823227904,https://twitter.com/CaitlinTenchyy/status/382870433823227904,2013-09-25 14:13:19+00:00,RT @Allenleech: I’m An Unapologetic ‘Downton Abbey’ Bootlegger http://t.co/I0HNYnclOF via @TIMECulture,en,18,CaitlinTenchyy,,,http://ti.me/15TfIBc,Allenleech,Downton,,,,
382870292689076224,https://twitter.com/benxwine/status/382870292689076224,2013-09-25 14:12:45+00:00,The lift announcements in @Waterstones Piccadilly are by Lady Mary from Downton Abbey.,en,0,benxwine,,,,Waterstones,Downton,,,,
382870268017790976,https://twitter.com/RoseVictorian/status/382870268017790976,2013-09-25 14:12:39+00:00,RT @DowntonAbbey: 4 days to #DowntonDay! #CountDownton #Downton http://t.co/bilL6pvGId,en,96,RoseVictorian,,,,DowntonAbbey,Downton,DowntonDay,https://pbs.twimg.com/media/BU_1VmICMAA5NSl.png,,
382870208097959939,https://twitter.com/1003Choice/status/382870208097959939,2013-09-25 14:12:25+00:00,Qu'est - ce que ça fait du bien de replonger dans l'univers de Downton Abbey ♥,fr,0,1003Choice,,,,,Downton,,,,
382870200326311936,https://twitter.com/diegovcarvalho/status/382870200326311936,2013-09-25 14:12:23+00:00,Photo: Hoje é dia de assistir a estréia da quarta temporada de Downton Abbey. Tomar chá e me vestir a rigor…... http://t.co/h23arhQYIh,pt,0,diegovcarvalho,,,http://tmblr.co/ZGL8Xyvzvzg_,,Downton,,,,
382870192105463808,https://twitter.com/diegovcarvalho/status/382870192105463808,2013-09-25 14:12:21+00:00,Hoje é dia de assistir a estréia da quarta temporada de Downton Abbey. Tomar chá e me vestir a… http://t.co/3NPN8XmsWa,pt,0,diegovcarvalho,,,http://instagram.com/p/er6qgxv__k/,,Downton,,,,
382870112904019968,https://twitter.com/sherly_oregel/status/382870112904019968,2013-09-25 14:12:02+00:00,"You can't have any successes unless you can accept failure, - George Cukoru be celebrating your Father today? #Downton",en,0,sherly_oregel,,,,,Downton,Downton,,,
382870086601564160,https://twitter.com/NitaPen/status/382870086601564160,2013-09-25 14:11:56+00:00,QUE BOM!!! As minhas séries de volta! «Downton Abbey» e «Anatomia de Grey» | Cultura : TV e Cinema | Diário Digital: http://t.co/p0dS3qRe8r,pt,0,NitaPen,,,http://diariodigital.sapo.pt/news.asp?section_id=14&id_news=658045#.UkLvVXuqbC0.twitter,,Downton,,,,
